IncidentCode,SupplierID,SupplierName,Region,SupplierCategory,ReliabilityScore,WarehouseLocation,ShipmentStatus,DeliveryDelayDays,TransportationCost,InventoryLevel,DemandForecast,IncidentCategory,Title,Description,Severity,ImpactScore,OccurredAt,ResolutionStatus
INC-00089,SUP-006,Andean Resources Ltd,South America,Raw Materials,82.03,"Tokyo, Japan",On-Time,4.73,13986.43,2174.11,2287.77,demand,Demand surge exceeds Andean Resources Ltd capacity,"Q-on-Q demand has increased by 47%, exceeding current supply agreements with Andean Resources Ltd.",medium,3.06,2026-04-16,open
INC-00090,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,62.1,"Los Angeles, USA",Delayed,6.9,11614.49,759.09,2663.64,inventory,Stockout risk for Manufacturing components,"At current consumption rate, Manufacturing component stock will reach zero in 29 days without restocking.",high,5.93,2025-07-07,in_progress
INC-00091,SUP-008,Nordic Cold Chain,Europe,Logistics,89.4,"Shanghai, China",Customs-Hold,1.2,40244.59,3895.34,2313.61,inventory,Low inventory alert — Nordic Cold Chain components,Stock levels for Logistics components from Nordic Cold Chain have dropped below reorder point. Current: 3895 units vs demand forecast: 2314 units.,low,1.54,2025-07-15,resolved
INC-00092,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,55.62,Singapore,In-Transit,8.33,16477.84,3786.97,543.89,inventory,Stockout risk for Manufacturing components,"At current consumption rate, Manufacturing component stock will reach zero in 21 days without restocking.",high,6.83,2026-01-08,open
INC-00093,SUP-004,NorAm Supply Chain,North America,Packaging,59.65,"Dubai, UAE",In-Transit,10.01,2407.42,1542.03,923.81,supplier,NorAm Supply Chain quality control hold,Batch from NorAm Supply Chain placed on quality hold pending inspection. 1542 units temporarily unavailable.,high,5.85,2025-08-11,in_progress
INC-00094,SUP-009,Midwest Components Inc,North America,Electronics,68.31,"Chicago, USA",On-Time,1.05,46167.77,4040.69,381.09,supplier,Geopolitical risk — North America trade route,New regulatory requirements in North America affecting imports from Midwest Components Inc. Compliance timeline: 28 days.,low,1.86,2025-06-23,in_progress
INC-00095,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,59.75,"Houston, USA",Delayed,13.23,53208.58,900.77,3795.7,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 61% due to fuel surcharges and carrier capacity constraints.,high,6.37,2026-01-23,in_progress
INC-00096,SUP-009,Midwest Components Inc,North America,Electronics,78.9,"Mumbai, India",Delayed,8.36,41527.66,1146.78,3138.56,shipment,Port congestion affecting Midwest Components Inc shipments,"Congestion at Mumbai, India port is causing 8-day delays for all Midwest Components Inc shipments.",high,6.2,2025-07-11,closed
INC-00097,SUP-003,EuroLogistics Partners,Europe,Logistics,88.24,Singapore,On-Time,1.76,12455.41,3031.87,3064.84,supplier,Geopolitical risk — Europe trade route,New regulatory requirements in Europe affecting imports from EuroLogistics Partners. Compliance timeline: 24 days.,low,2.52,2026-05-03,in_progress
INC-00098,SUP-010,Bay Area Tech Supplies,North America,Electronics,73.86,Singapore,On-Time,0.0,19130.04,4856.32,1332.94,supplier,Geopolitical risk — North America trade route,New regulatory requirements in North America affecting imports from Bay Area Tech Supplies. Compliance timeline: 20 days.,low,1.11,2026-01-13,in_progress
INC-00099,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,42.97,"Tokyo, Japan",Critical,18.41,5015.17,4166.9,399.25,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Pacific Rim Manufacturing. Compliance timeline: 13 days.,critical,8.61,2025-07-18,closed
INC-00100,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,63.34,"Shanghai, China",In-Transit,6.2,36547.39,1641.56,1954.95,inventory,Low inventory alert — GlobalTech Components components,Stock levels for Electronics components from GlobalTech Components have dropped below reorder point. Current: 1642 units vs demand forecast: 1955 units.,medium,4.01,2025-08-18,open
INC-00101,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,72.08,"Dubai, UAE",Delayed,7.72,25289.35,2637.6,719.11,shipment,Port congestion affecting GlobalTech Components shipments,"Congestion at Dubai, UAE port is causing 8-day delays for all GlobalTech Components shipments.",high,5.63,2025-12-09,open
INC-00102,SUP-009,Midwest Components Inc,North America,Electronics,68.22,"São Paulo, Brazil",On-Time,2.42,40357.88,3299.99,3634.74,demand,Demand surge exceeds Midwest Components Inc capacity,"Q-on-Q demand has increased by 14%, exceeding current supply agreements with Midwest Components Inc.",low,2.94,2025-08-17,resolved
INC-00103,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,66.41,"Los Angeles, USA",Critical,14.06,6490.11,2816.66,2609.62,inventory,Stockout risk for Manufacturing components,"At current consumption rate, Manufacturing component stock will reach zero in 25 days without restocking.",critical,7.69,2025-11-17,resolved
INC-00104,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,60.04,"Rotterdam, Netherlands",Delayed,7.74,18369.9,4758.29,1432.76,demand,Demand surge exceeds Southeast Asia Textiles capacity,"Q-on-Q demand has increased by 22%, exceeding current supply agreements with Southeast Asia Textiles.",high,7.19,2026-02-05,open
INC-00105,SUP-009,Midwest Components Inc,North America,Electronics,71.24,"Los Angeles, USA",On-Time,0.0,48835.15,236.85,1413.38,supplier,Geopolitical risk — North America trade route,New regulatory requirements in North America affecting imports from Midwest Components Inc. Compliance timeline: 7 days.,critical,9.12,2026-04-14,open
INC-00106,SUP-008,Nordic Cold Chain,Europe,Logistics,96.58,"Rotterdam, Netherlands",On-Time,0.93,40138.04,4849.46,2481.32,shipment,Weather-related disruption — Europe,"Severe weather event in Europe has disrupted logistics for Nordic Cold Chain, causing estimated 1-day delay.",low,2.81,2026-01-17,open
INC-00107,SUP-006,Andean Resources Ltd,South America,Raw Materials,76.17,"Mumbai, India",On-Time,0.47,25351.66,3858.72,3134.68,supplier,Geopolitical risk — South America trade route,New regulatory requirements in South America affecting imports from Andean Resources Ltd. Compliance timeline: 7 days.,low,1.28,2026-02-14,open
INC-00108,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,65.57,"Dubai, UAE",On-Time,0.0,31390.66,557.82,3398.98,inventory,Stockout risk for Electronics components,"At current consumption rate, Electronics component stock will reach zero in 7 days without restocking.",critical,7.79,2025-08-04,in_progress
INC-00109,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,48.34,"Chicago, USA",Delayed,10.9,25909.78,1780.45,204.01,shipment,Port congestion affecting Pacific Rim Manufacturing shipments,"Congestion at Chicago, USA port is causing 11-day delays for all Pacific Rim Manufacturing shipments.",high,5.95,2025-06-29,open
INC-00110,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,48.85,"Houston, USA",On-Time,4.94,43943.17,731.12,1218.83,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Pacific Rim Manufacturing. Compliance timeline: 23 days.,medium,3.01,2026-01-29,open
INC-00111,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,71.65,"Dubai, UAE",Delayed,10.19,31086.63,3649.81,2158.31,supplier,GlobalTech Components quality control hold,Batch from GlobalTech Components placed on quality hold pending inspection. 3650 units temporarily unavailable.,high,6.78,2025-07-28,in_progress
INC-00112,SUP-008,Nordic Cold Chain,Europe,Logistics,100.0,"Rotterdam, Netherlands",Customs-Hold,1.17,28490.95,2703.47,2564.62,shipment,Port congestion affecting Nordic Cold Chain shipments,"Congestion at Rotterdam, Netherlands port is causing 1-day delays for all Nordic Cold Chain shipments.",low,1.48,2026-03-23,in_progress
INC-00113,SUP-003,EuroLogistics Partners,Europe,Logistics,86.92,"Mumbai, India",On-Time,0.84,53656.69,385.01,2151.63,supplier,EuroLogistics Partners quality control hold,Batch from EuroLogistics Partners placed on quality hold pending inspection. 385 units temporarily unavailable.,critical,9.46,2026-02-16,open
INC-00114,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,70.83,"Houston, USA",In-Transit,5.38,14779.67,3302.67,504.29,inventory,Stockout risk for Electronics components,"At current consumption rate, Electronics component stock will reach zero in 7 days without restocking.",medium,3.68,2026-03-26,resolved
INC-00115,SUP-003,EuroLogistics Partners,Europe,Logistics,91.68,Singapore,Customs-Hold,0.0,53983.42,2418.73,810.88,shipment,Transportation cost spike on Europe routes,Freight costs from Europe increased by 49% due to fuel surcharges and carrier capacity constraints.,low,1.09,2025-08-10,open
INC-00116,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,70.27,"Sydney, Australia",Delayed,6.87,23105.87,4086.26,1946.26,shipment,Port congestion affecting GlobalTech Components shipments,"Congestion at Sydney, Australia port is causing 7-day delays for all GlobalTech Components shipments.",medium,3.55,2025-06-20,closed
INC-00117,SUP-006,Andean Resources Ltd,South America,Raw Materials,74.34,"Frankfurt, Germany",On-Time,4.38,25306.04,4784.57,1422.24,demand,Demand surge exceeds Andean Resources Ltd capacity,"Q-on-Q demand has increased by 48%, exceeding current supply agreements with Andean Resources Ltd.",medium,4.6,2025-09-05,resolved
INC-00118,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,66.97,"São Paulo, Brazil",In-Transit,11.35,45584.09,2750.1,1352.72,supplier,Southeast Asia Textiles reliability score degradation,"Supplier Southeast Asia Textiles has shown a pattern of late deliveries over the past 30 days, averaging 11.4 days behind schedule.",high,6.88,2025-07-12,open
INC-00119,SUP-008,Nordic Cold Chain,Europe,Logistics,100.0,Singapore,On-Time,1.07,20685.64,4990.85,1170.77,supplier,Nordic Cold Chain reliability score degradation,"Supplier Nordic Cold Chain has shown a pattern of late deliveries over the past 30 days, averaging 1.1 days behind schedule.",low,2.91,2025-07-01,open
INC-00120,SUP-010,Bay Area Tech Supplies,North America,Electronics,80.66,"Chicago, USA",On-Time,0.65,8690.19,1218.18,2616.14,shipment,Weather-related disruption — North America,"Severe weather event in North America has disrupted logistics for Bay Area Tech Supplies, causing estimated 1-day delay.",high,7.4,2025-12-04,open
INC-00121,SUP-008,Nordic Cold Chain,Europe,Logistics,92.54,Singapore,On-Time,0.15,30061.37,2020.27,2633.29,inventory,Stockout risk for Logistics components,"At current consumption rate, Logistics component stock will reach zero in 8 days without restocking.",low,1.24,2025-10-07,closed
INC-00122,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,57.01,Singapore,Delayed,5.77,34429.49,3485.2,3994.65,shipment,Weather-related disruption — Middle East,"Severe weather event in Middle East has disrupted logistics for Gulf Region Distributors, causing estimated 6-day delay.",medium,4.99,2025-09-12,closed
INC-00123,SUP-006,Andean Resources Ltd,South America,Raw Materials,75.12,"Houston, USA",On-Time,0.0,31149.85,1487.29,1269.83,shipment,Port congestion affecting Andean Resources Ltd shipments,"Congestion at Houston, USA port is causing 0-day delays for all Andean Resources Ltd shipments.",low,2.02,2025-08-21,open
INC-00124,SUP-004,NorAm Supply Chain,North America,Packaging,65.96,"Mumbai, India",Customs-Hold,3.86,28183.16,1836.44,2331.88,supplier,NorAm Supply Chain quality control hold,Batch from NorAm Supply Chain placed on quality hold pending inspection. 1836 units temporarily unavailable.,medium,5.0,2026-01-27,resolved
INC-00125,SUP-008,Nordic Cold Chain,Europe,Logistics,83.55,Singapore,On-Time,0.66,45636.99,415.07,3892.28,inventory,Stockout risk for Logistics components,"At current consumption rate, Logistics component stock will reach zero in 21 days without restocking.",critical,8.78,2026-04-26,open
INC-00126,SUP-003,EuroLogistics Partners,Europe,Logistics,77.98,"Los Angeles, USA",On-Time,2.1,4936.88,664.6,696.76,inventory,Stockout risk for Logistics components,"At current consumption rate, Logistics component stock will reach zero in 22 days without restocking.",low,2.79,2025-08-25,closed
INC-00127,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,44.97,Singapore,Critical,20.82,31194.6,669.59,1281.02,supplier,Geopolitical risk — Asia-Pacific trade route,New regulatory requirements in Asia-Pacific affecting imports from Pacific Rim Manufacturing. Compliance timeline: 8 days.,critical,7.81,2026-03-02,resolved
INC-00128,SUP-010,Bay Area Tech Supplies,North America,Electronics,81.75,Singapore,On-Time,0.09,46654.09,2839.91,3318.42,shipment,Transportation cost spike on North America routes,Freight costs from North America increased by 13% due to fuel surcharges and carrier capacity constraints.,low,2.53,2025-06-16,in_progress
INC-00129,SUP-010,Bay Area Tech Supplies,North America,Electronics,79.23,"Rotterdam, Netherlands",On-Time,0.75,35239.69,1483.87,3830.94,inventory,Low inventory alert — Bay Area Tech Supplies components,Stock levels for Electronics components from Bay Area Tech Supplies have dropped below reorder point. Current: 1484 units vs demand forecast: 3831 units.,high,6.88,2026-02-04,open
INC-00130,SUP-008,Nordic Cold Chain,Europe,Logistics,87.18,"Houston, USA",On-Time,1.08,20030.21,761.16,3459.79,shipment,Port congestion affecting Nordic Cold Chain shipments,"Congestion at Houston, USA port is causing 1-day delays for all Nordic Cold Chain shipments.",high,6.53,2025-11-12,open
INC-00131,SUP-006,Andean Resources Ltd,South America,Raw Materials,79.13,"Tokyo, Japan",On-Time,4.68,25828.59,747.34,297.36,shipment,Port congestion affecting Andean Resources Ltd shipments,"Congestion at Tokyo, Japan port is causing 5-day delays for all Andean Resources Ltd shipments.",medium,4.87,2025-12-15,resolved
INC-00132,SUP-006,Andean Resources Ltd,South America,Raw Materials,80.09,"Shanghai, China",On-Time,4.77,54786.38,2360.73,3528.4,shipment,Transportation cost spike on South America routes,Freight costs from South America increased by 15% due to fuel surcharges and carrier capacity constraints.,medium,3.43,2026-02-11,open
INC-00133,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,77.55,"Shanghai, China",In-Transit,5.59,48763.99,3288.59,1935.29,shipment,Port congestion affecting GlobalTech Components shipments,"Congestion at Shanghai, China port is causing 6-day delays for all GlobalTech Components shipments.",medium,4.53,2026-03-03,open
INC-00134,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,66.73,"Frankfurt, Germany",Delayed,6.78,12316.73,2788.45,386.77,supplier,GlobalTech Components reliability score degradation,"Supplier GlobalTech Components has shown a pattern of late deliveries over the past 30 days, averaging 6.8 days behind schedule.",medium,4.95,2026-02-15,in_progress
INC-00135,SUP-006,Andean Resources Ltd,South America,Raw Materials,80.27,"Chicago, USA",On-Time,1.21,51764.27,3787.08,876.33,shipment,Port congestion affecting Andean Resources Ltd shipments,"Congestion at Chicago, USA port is causing 1-day delays for all Andean Resources Ltd shipments.",low,2.61,2026-02-17,in_progress
INC-00136,SUP-008,Nordic Cold Chain,Europe,Logistics,98.27,"Tokyo, Japan",On-Time,1.65,9408.39,4660.28,1342.27,inventory,Stockout risk for Logistics components,"At current consumption rate, Logistics component stock will reach zero in 11 days without restocking.",low,2.06,2025-12-20,resolved
INC-00137,SUP-010,Bay Area Tech Supplies,North America,Electronics,80.17,"Dubai, UAE",On-Time,4.72,21522.96,3385.34,3921.6,shipment,Bay Area Tech Supplies delivery delayed by customs clearance,"Shipment from Bay Area Tech Supplies held at Dubai, UAE customs for 5 days due to documentation issues.",medium,4.19,2026-03-27,open
INC-00138,SUP-010,Bay Area Tech Supplies,North America,Electronics,75.94,"Chicago, USA",Customs-Hold,0.98,32926.73,894.03,2553.2,inventory,Low inventory alert — Bay Area Tech Supplies components,Stock levels for Electronics components from Bay Area Tech Supplies have dropped below reorder point. Current: 894 units vs demand forecast: 2553 units.,high,5.88,2026-04-15,in_progress
INC-00139,SUP-006,Andean Resources Ltd,South America,Raw Materials,74.5,"Houston, USA",On-Time,4.66,12806.26,2534.01,2484.76,inventory,Stockout risk for Raw Materials components,"At current consumption rate, Raw Materials component stock will reach zero in 22 days without restocking.",medium,3.65,2026-01-29,resolved
INC-00140,SUP-008,Nordic Cold Chain,Europe,Logistics,87.72,"Sydney, Australia",On-Time,0.73,11178.67,4565.01,1435.08,demand,Demand surge exceeds Nordic Cold Chain capacity,"Q-on-Q demand has increased by 52%, exceeding current supply agreements with Nordic Cold Chain.",low,2.22,2025-11-30,open
INC-00141,SUP-004,NorAm Supply Chain,North America,Packaging,64.24,"Rotterdam, Netherlands",In-Transit,10.01,51898.73,4912.19,3107.58,shipment,Port congestion affecting NorAm Supply Chain shipments,"Congestion at Rotterdam, Netherlands port is causing 10-day delays for all NorAm Supply Chain shipments.",high,6.62,2026-05-28,closed
INC-00142,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,56.46,"Los Angeles, USA",Critical,15.44,30789.12,4484.01,1638.68,inventory,Low inventory alert — Gulf Region Distributors components,Stock levels for Manufacturing components from Gulf Region Distributors have dropped below reorder point. Current: 4484 units vs demand forecast: 1639 units.,critical,8.19,2025-11-25,in_progress
INC-00143,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,57.94,"Los Angeles, USA",Delayed,5.63,45881.44,1392.11,2291.87,shipment,Transportation cost spike on Middle East routes,Freight costs from Middle East increased by 16% due to fuel surcharges and carrier capacity constraints.,medium,3.1,2025-10-19,in_progress
INC-00144,SUP-004,NorAm Supply Chain,North America,Packaging,63.94,"Shanghai, China",Delayed,5.7,23904.97,3600.92,492.13,supplier,NorAm Supply Chain quality control hold,Batch from NorAm Supply Chain placed on quality hold pending inspection. 3601 units temporarily unavailable.,medium,4.31,2025-08-11,in_progress
INC-00145,SUP-008,Nordic Cold Chain,Europe,Logistics,87.09,"Sydney, Australia",On-Time,0.12,17223.99,1462.81,330.73,shipment,Nordic Cold Chain delivery delayed by customs clearance,"Shipment from Nordic Cold Chain held at Sydney, Australia customs for 0 days due to documentation issues.",low,2.83,2025-07-17,open
INC-00146,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,63.3,"Los Angeles, USA",In-Transit,5.49,50740.65,4986.0,1648.28,shipment,Southeast Asia Textiles delivery delayed by customs clearance,"Shipment from Southeast Asia Textiles held at Los Angeles, USA customs for 5 days due to documentation issues.",medium,3.02,2026-02-10,in_progress
INC-00147,SUP-010,Bay Area Tech Supplies,North America,Electronics,94.15,"Los Angeles, USA",On-Time,4.77,17081.77,4946.04,2218.87,inventory,Low inventory alert — Bay Area Tech Supplies components,Stock levels for Electronics components from Bay Area Tech Supplies have dropped below reorder point. Current: 4946 units vs demand forecast: 2219 units.,medium,3.66,2026-02-09,resolved
INC-00148,SUP-008,Nordic Cold Chain,Europe,Logistics,87.25,"Rotterdam, Netherlands",On-Time,0.16,2746.46,1718.71,1250.59,supplier,Nordic Cold Chain quality control hold,Batch from Nordic Cold Chain placed on quality hold pending inspection. 1719 units temporarily unavailable.,low,2.03,2026-05-13,open
INC-00149,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,59.45,"Chicago, USA",On-Time,4.73,9452.43,1651.83,1067.38,demand,Demand surge exceeds Southeast Asia Textiles capacity,"Q-on-Q demand has increased by 23%, exceeding current supply agreements with Southeast Asia Textiles.",medium,4.16,2025-10-13,in_progress
INC-00150,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,71.66,"Chicago, USA",In-Transit,7.32,14524.04,3355.54,1915.04,inventory,Low inventory alert — GlobalTech Components components,Stock levels for Electronics components from GlobalTech Components have dropped below reorder point. Current: 3356 units vs demand forecast: 1915 units.,high,6.78,2025-08-22,open
INC-00151,SUP-006,Andean Resources Ltd,South America,Raw Materials,76.36,"São Paulo, Brazil",On-Time,2.24,9079.15,808.27,3016.17,inventory,Stockout risk for Raw Materials components,"At current consumption rate, Raw Materials component stock will reach zero in 18 days without restocking.",high,7.1,2026-04-08,closed
INC-00152,SUP-004,NorAm Supply Chain,North America,Packaging,65.56,"Houston, USA",On-Time,0.68,33578.17,3947.48,2149.48,inventory,Stockout risk for Packaging components,"At current consumption rate, Packaging component stock will reach zero in 28 days without restocking.",low,2.81,2026-02-27,open
INC-00153,SUP-010,Bay Area Tech Supplies,North America,Electronics,80.08,"Frankfurt, Germany",On-Time,1.89,47287.76,2237.11,2753.15,shipment,Weather-related disruption — North America,"Severe weather event in North America has disrupted logistics for Bay Area Tech Supplies, causing estimated 2-day delay.",low,1.26,2026-03-27,in_progress
INC-00154,SUP-008,Nordic Cold Chain,Europe,Logistics,86.11,"Shanghai, China",Customs-Hold,0.55,37656.69,1575.44,184.9,shipment,Port congestion affecting Nordic Cold Chain shipments,"Congestion at Shanghai, China port is causing 1-day delays for all Nordic Cold Chain shipments.",low,2.4,2025-10-10,in_progress
INC-00155,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,73.73,"Sydney, Australia",On-Time,4.05,51490.1,207.09,1694.58,supplier,GlobalTech Components quality control hold,Batch from GlobalTech Components placed on quality hold pending inspection. 207 units temporarily unavailable.,critical,8.4,2025-08-10,in_progress
INC-00156,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,72.29,"Los Angeles, USA",Critical,14.66,48351.35,708.3,3455.12,supplier,Southeast Asia Textiles reliability score degradation,"Supplier Southeast Asia Textiles has shown a pattern of late deliveries over the past 30 days, averaging 14.7 days behind schedule.",critical,8.96,2025-08-01,open
INC-00157,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,72.54,"Rotterdam, Netherlands",On-Time,0.0,26539.21,3609.52,1754.1,inventory,Low inventory alert — GlobalTech Components components,Stock levels for Electronics components from GlobalTech Components have dropped below reorder point. Current: 3610 units vs demand forecast: 1754 units.,low,1.06,2025-12-13,resolved
INC-00158,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,52.2,"Shanghai, China",On-Time,0.0,49119.19,1241.3,362.43,shipment,Transportation cost spike on Asia-Pacific routes,Freight costs from Asia-Pacific increased by 35% due to fuel surcharges and carrier capacity constraints.,low,2.48,2026-04-02,in_progress
INC-00159,SUP-008,Nordic Cold Chain,Europe,Logistics,92.34,"Rotterdam, Netherlands",On-Time,1.15,47777.7,329.4,2065.19,supplier,Geopolitical risk — Europe trade route,New regulatory requirements in Europe affecting imports from Nordic Cold Chain. Compliance timeline: 23 days.,critical,9.05,2025-10-28,closed
INC-00160,SUP-006,Andean Resources Ltd,South America,Raw Materials,79.84,"Shanghai, China",Delayed,8.49,54241.86,2630.19,1712.88,supplier,Andean Resources Ltd quality control hold,Batch from Andean Resources Ltd placed on quality hold pending inspection. 2630 units temporarily unavailable.,high,6.61,2025-10-20,open
INC-00161,SUP-006,Andean Resources Ltd,South America,Raw Materials,85.96,"Dubai, UAE",On-Time,2.06,43647.64,1627.74,1723.67,shipment,Transportation cost spike on South America routes,Freight costs from South America increased by 31% due to fuel surcharges and carrier capacity constraints.,low,1.6,2025-08-17,resolved
INC-00162,SUP-003,EuroLogistics Partners,Europe,Logistics,91.81,"Chicago, USA",On-Time,0.0,31806.46,4840.54,2273.42,shipment,Weather-related disruption — Europe,"Severe weather event in Europe has disrupted logistics for EuroLogistics Partners, causing estimated 0-day delay.",low,2.69,2025-08-09,open
INC-00163,SUP-009,Midwest Components Inc,North America,Electronics,69.48,"Rotterdam, Netherlands",On-Time,2.75,16228.46,3384.68,2451.4,shipment,Transportation cost spike on North America routes,Freight costs from North America increased by 54% due to fuel surcharges and carrier capacity constraints.,low,1.96,2025-07-09,closed
INC-00164,SUP-006,Andean Resources Ltd,South America,Raw Materials,75.41,"Rotterdam, Netherlands",In-Transit,8.57,13225.81,990.62,2991.75,shipment,Transportation cost spike on South America routes,Freight costs from South America increased by 48% due to fuel surcharges and carrier capacity constraints.,high,6.6,2026-02-02,closed
INC-00165,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,53.48,"Frankfurt, Germany",In-Transit,13.31,21040.76,1344.73,2099.98,shipment,Port congestion affecting Gulf Region Distributors shipments,"Congestion at Frankfurt, Germany port is causing 13-day delays for all Gulf Region Distributors shipments.",high,7.33,2026-02-11,open
INC-00166,SUP-006,Andean Resources Ltd,South America,Raw Materials,73.49,"Tokyo, Japan",Delayed,5.05,13727.53,772.32,1117.02,shipment,Port congestion affecting Andean Resources Ltd shipments,"Congestion at Tokyo, Japan port is causing 5-day delays for all Andean Resources Ltd shipments.",medium,3.46,2026-03-28,in_progress
INC-00167,SUP-004,NorAm Supply Chain,North America,Packaging,57.71,"Houston, USA",In-Transit,6.73,38296.87,1323.77,3304.21,supplier,NorAm Supply Chain reliability score degradation,"Supplier NorAm Supply Chain has shown a pattern of late deliveries over the past 30 days, averaging 6.7 days behind schedule.",high,5.78,2026-04-26,in_progress
INC-00168,SUP-008,Nordic Cold Chain,Europe,Logistics,96.22,"Sydney, Australia",On-Time,1.76,54487.15,4788.32,2143.38,shipment,Transportation cost spike on Europe routes,Freight costs from Europe increased by 13% due to fuel surcharges and carrier capacity constraints.,low,1.14,2025-07-10,open
INC-00169,SUP-001,GlobalTech Components,Asia-Pacific,Electronics,73.08,"Sydney, Australia",In-Transit,7.75,5203.86,3206.76,3742.22,shipment,GlobalTech Components delivery delayed by customs clearance,"Shipment from GlobalTech Components held at Sydney, Australia customs for 8 days due to documentation issues.",high,5.53,2026-02-04,resolved
INC-00170,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,53.99,Singapore,Delayed,8.18,28617.45,3504.4,1779.24,shipment,Transportation cost spike on Middle East routes,Freight costs from Middle East increased by 60% due to fuel surcharges and carrier capacity constraints.,high,6.74,2025-09-01,open
INC-00171,SUP-006,Andean Resources Ltd,South America,Raw Materials,78.45,"Rotterdam, Netherlands",Delayed,5.9,21771.73,2059.84,2303.51,shipment,Andean Resources Ltd delivery delayed by customs clearance,"Shipment from Andean Resources Ltd held at Rotterdam, Netherlands customs for 6 days due to documentation issues.",medium,3.19,2026-05-24,in_progress
INC-00172,SUP-007,Southeast Asia Textiles,Asia-Pacific,Manufacturing,59.39,"Sydney, Australia",Delayed,7.19,2500.86,898.35,2049.45,inventory,Stockout risk for Manufacturing components,"At current consumption rate, Manufacturing component stock will reach zero in 18 days without restocking.",high,7.34,2026-01-10,open
INC-00173,SUP-004,NorAm Supply Chain,North America,Packaging,71.25,"Dubai, UAE",Customs-Hold,3.13,32039.56,1391.92,3704.22,shipment,Port congestion affecting NorAm Supply Chain shipments,"Congestion at Dubai, UAE port is causing 3-day delays for all NorAm Supply Chain shipments.",high,5.53,2026-05-18,open
INC-00174,SUP-010,Bay Area Tech Supplies,North America,Electronics,88.72,"Rotterdam, Netherlands",On-Time,4.29,45507.83,4647.93,1267.18,inventory,Stockout risk for Electronics components,"At current consumption rate, Electronics component stock will reach zero in 26 days without restocking.",medium,3.66,2026-03-17,closed
INC-00175,SUP-003,EuroLogistics Partners,Europe,Logistics,89.92,"Chicago, USA",On-Time,0.0,6156.67,3740.01,1448.85,supplier,Geopolitical risk — Europe trade route,New regulatory requirements in Europe affecting imports from EuroLogistics Partners. Compliance timeline: 5 days.,low,2.91,2025-07-22,in_progress
INC-00176,SUP-006,Andean Resources Ltd,South America,Raw Materials,82.93,"Chicago, USA",On-Time,3.77,54607.05,2478.49,1487.66,supplier,Geopolitical risk — South America trade route,New regulatory requirements in South America affecting imports from Andean Resources Ltd. Compliance timeline: 19 days.,medium,3.59,2025-12-11,open
INC-00177,SUP-002,Pacific Rim Manufacturing,Asia-Pacific,Raw Materials,47.52,"São Paulo, Brazil",Critical,14.01,39718.89,3187.81,2984.66,demand,Demand surge exceeds Pacific Rim Manufacturing capacity,"Q-on-Q demand has increased by 16%, exceeding current supply agreements with Pacific Rim Manufacturing.",critical,8.39,2025-11-11,closed
INC-00178,SUP-005,Gulf Region Distributors,Middle East,Manufacturing,59.71,"Shanghai, China",In-Transit,10.38,24841.91,2807.08,2098.52,supplier,Gulf Region Distributors quality control hold,Batch from Gulf Region Distributors placed on quality hold pending inspection. 2807 units temporarily unavailable.,high,5.52,2025-07-24,in_progress
